Session Start,Session End,Total Sleep Duration (hrs),Average HRV (ms),Date,Awake Duration (hrs),REM Duration (hrs),Core Duration (hrs),Deep Duration (hrs),Total Steps
,,,,2021-11-15,,,,,6470.0
,,,,2021-11-16,,,,,7694.0
,,,,2021-11-17,,,,,4610.0
2021-11-18 08:14:51-07:00,2021-11-18 08:14:51-07:00,0.0,,2021-11-18,,,,,17859.0
2021-11-19 01:46:55-07:00,2021-11-19 08:13:25-07:00,6.441666666666666,47.213,2021-11-19,,,,,14570.0
,,,,2021-11-20,,,,,9082.0
,,,,2021-11-21,,,,,18040.0
,,,,2021-11-22,,,,,2579.0
2021-11-23 01:55:51-07:00,2021-11-23 10:34:51-07:00,8.65,44.57885,2021-11-23,,,,,16973.0
2021-11-24 02:17:33-07:00,2021-11-24 11:39:33-07:00,9.366666666666667,47.21246666666667,2021-11-24,,,,,8056.0
2021-11-25 02:58:50-07:00,2021-11-25 11:33:20-07:00,8.575,35.75673333333334,2021-11-25,,,,,4916.0
2021-11-26 03:49:40-07:00,2021-11-26 09:17:10-07:00,5.458333333333333,50.133750000000006,2021-11-26,,,,,1071.0
2021-11-27 02:08:13-07:00,2021-11-27 11:43:13-07:00,9.583333333333334,59.3249,2021-11-27,,,,,17982.0
2021-11-27 23:18:35-07:00,2021-11-28 11:26:05-07:00,12.125,50.212799999999994,2021-11-28,,,,,1041.0
2021-11-29 00:12:25-07:00,2021-11-29 07:33:55-07:00,7.358333333333333,30.2965,2021-11-29,,,,,17419.0
2021-11-30 01:56:32-07:00,2021-11-30 08:18:32-07:00,6.366666666666666,38.518649999999994,2021-11-30,,,,,21558.0
2021-12-01 02:18:04-07:00,2021-12-01 08:16:04-07:00,5.966666666666667,31.6795,2021-12-01,,,,,21033.0
2021-12-02 01:21:59-07:00,2021-12-02 08:15:29-07:00,6.891666666666667,52.3192,2021-12-02,,,,,17391.0
2021-12-03 00:42:06-07:00,2021-12-03 08:26:36-07:00,7.741666666666666,45.629599999999996,2021-12-03,,,,,15761.0
2021-12-04 00:47:05-07:00,2021-12-04 07:38:35-07:00,6.858333333333333,60.3602,2021-12-04,,,,,2174.0
2021-12-04 09:16:36-07:00,2021-12-04 09:16:36-07:00,0.0,,2021-12-04,,,,,2174.0
,,,,2021-12-05,,,,,261.0
2021-12-06 00:34:47-07:00,2021-12-06 08:06:47-07:00,7.533333333333333,,2021-12-06,,,,,23067.0
2021-12-07 01:06:08-07:00,2021-12-07 08:13:38-07:00,7.125,112.609,2021-12-07,,,,,12046.0
2021-12-08 00:32:02-07:00,2021-12-08 08:23:02-07:00,7.85,43.20676666666666,2021-12-08,,,,,22973.0
