Session Start,Session End,Total Sleep Duration (hrs),Average HRV (ms),Date,Awake Duration (hrs),REM Duration (hrs),Core Duration (hrs),Deep Duration (hrs),Total Steps,Total Standing Hours,Total Basal Energy Burned (kcal),Total Active Energy Burned (kcal),Total Exercise Minutes
,,,,2021-11-15,,,,,6470.0,,,,
,,,,2021-11-16,,,,,7694.0,,,,
,,,,2021-11-17,,,,,4610.0,,15.857,1.7800000000000002,
2021-11-18 08:14:51-07:00,2021-11-18 08:14:51-07:00,0.0,,2021-11-18,,,,,17859.0,13.0,1549.1949999999943,648.8899999999998,100.0
2021-11-19 01:46:55-07:00,2021-11-19 08:13:25-07:00,6.441666666666666,47.213,2021-11-19,,,,,14570.0,15.0,1600.400999999998,398.0939999999998,18.0
,,,,2021-11-20,,,,,9082.0,4.0,1512.5360000000005,161.56500000000003,1.0
,,,,2021-11-21,,,,,18040.0,8.0,1542.2059999999976,293.7880000000003,9.0
,,,,2021-11-22,,,,,2579.0,,1526.3839999999993,0.041,
2021-11-23 01:55:51-07:00,2021-11-23 10:34:51-07:00,8.65,44.57885,2021-11-23,,,,,16973.0,5.0,1581.1239999999991,304.02900000000017,23.0
2021-11-24 02:17:33-07:00,2021-11-24 11:39:33-07:00,9.366666666666667,47.21246666666667,2021-11-24,,,,,8056.0,6.0,1498.849000000001,201.69700000000017,3.0
2021-11-25 02:58:50-07:00,2021-11-25 11:33:20-07:00,8.575,35.75673333333334,2021-11-25,,,,,4916.0,2.0,1578.9660000000003,249.51599999999996,29.0
2021-11-26 03:49:40-07:00,2021-11-26 09:17:10-07:00,5.458333333333333,50.133750000000006,2021-11-26,,,,,1071.0,3.0,1513.0919999999992,170.51500000000001,46.0
2021-11-27 02:08:13-07:00,2021-11-27 11:43:13-07:00,9.583333333333334,59.3249,2021-11-27,,,,,17982.0,12.0,1533.8760000000027,442.08700000000016,29.0
2021-11-27 23:18:35-07:00,2021-11-28 11:26:05-07:00,12.125,50.212799999999994,2021-11-28,,,,,1041.0,4.0,1517.2079999999999,38.006999999999984,
2021-11-29 00:12:25-07:00,2021-11-29 07:33:55-07:00,7.358333333333333,30.2965,2021-11-29,,,,,17419.0,13.0,1603.3510000000006,452.5160000000005,33.0
2021-11-30 01:56:32-07:00,2021-11-30 08:18:32-07:00,6.366666666666666,38.518649999999994,2021-11-30,,,,,21558.0,12.0,1545.142000000005,564.6139999999999,65.0
2021-12-01 02:18:04-07:00,2021-12-01 08:16:04-07:00,5.966666666666667,31.6795,2021-12-01,,,,,21033.0,11.0,1618.838,792.604,106.0
